AssetCode,MonthID,Amount
cosaoef233782,202403,401100.54
citfoef80021,202408,449947.35
5thous75244,202411,516427.20
aubg30312,202408,273004.96
balof80205,202501,593237.29
corch75056,202501,435935.01
dismvbre285209,202401,616145.80
parlcbre33615,202408,380995.32
avps30318,202408,126337.26
3131oef30033,202411,393665.51
lints76021,202411,1413090.84
corrn160654,202404,494894.78
parlcbre33615,202409,374761.03
sunr43219,202410,262076.71
wesls80124,202402,774692.66
clubc77095,202403,348232.62
puret78261,202407,584830.05
cords33444,202405,677929.02
covri80233,202502,360853.97
mintui180246,202411,283321.98
uncbre228262,202405,489130.49
corb37209,202404,548627.85
greho43016,202411,211222.95
corr22209,202408,1112869.69
corar78759,202403,547705.41
luxscr77584,202408,572633.55
corhiTL27519,202409,475554.38
cormidmia33137,202408,1151705.14
ridvoef76116,202402,374132.90
corco34747,202502,696173.06
fosc76137,202411,586254.67
artp75034,202403,537363.31
corhc33025,202409,572731.83
ves35205,202403,542809.44
fosc76137,202401,587617.01
islcbre33615,202409,681293.06
attm30092,202412,412837.95
sarpmoef28105,202401,516175.83
hampl33196,202412,628357.94
olean30329,202405,680862.25
corhp85233,202502,622150.55
attp77581,202401,202059.85
corasRH75002,202502,764707.80
corpp85306,202404,612451.88
norh77433,202502,545008.05
atra80021,202402,487147.44
corub30342,202410,276296.33
villp2oef30080,202501,368271.62
hofbb76126,202401,362951.52
fairfccbre76137,202409,363509.24
poroef30096,202403,718125.60
jamsbre30043,202404,644311.15
virbre30033,202412,750492.22
corsf33619,202402,584406.27
corasRH75002,202411,778334.31
corpc30342,202408,300352.30
corww33578,202405,320146.69
corsm83642,202402,524588.62
corri33578,202412,586102.43
coraddass30350,202409,299596.32
broadwcHL77573,202403,495309.83
venr77469,202412,414346.97
ech30030,202407,662653.92
corjp32822,202406,626249.59
covccbre80231,202401,707643.61
becpbre75038,202410,631897.59
casli85704,202408,218853.09
watecbre230062,202502,812926.07
corsk33177,202403,1039269.89
corwe75229,202401,1052399.44
chel8oef30096,202404,843141.61
wesls80124,202405,775404.76
parbre2830076,202407,1040570.77
parcbre285016,202406,257029.74
corprovitp76015,202404,765351.58
attfm75201,202411,392190.88
cororoy75063,202407,787772.71
hil30342,202410,506745.99
purlv75039,202406,557035.08
corhcoef34741,202404,519263.60
corw30067,202501,698768.91
brook43068,202401,257655.12
courv85008,202407,624863.58
cortlm32746,202501,439615.19
presfbre278240,202407,586642.86
cormckinney75201,202401,762569.84
corrockrim80919,202404,163486.30
corr22209,202405,1062082.60
lexbre30004,202502,646052.49
legpt77084,202411,329351.52
cosaoef233782,202402,399054.90
legpt77084,202407,331451.12
5thous75244,202501,524675.64
sola27519,202501,394865.19
bat1b30339,202502,385040.29
dowbe80226,202401,329744.63
olean30329,202402,664850.71
arbsbre27713,202403,472314.38
cornona32832,202402,760749.17
granr80920,202403,631115.74
oveda32118,202410,288343.81
eccoo32806,202412,559590.40
cortm83642,202409,572041.14
corgv80249,202406,587970.22
pinuhHL85050,202409,479663.77
watecbre230062,202404,865684.84
dismvbre285209,202407,615512.68
cortm83642,202402,580637.35
presahB75093,202502,571771.07
mintui280246,202407,420072.61
inkwg77084,202405,450644.40
cororTL27612,202411,327715.93
corbawarba33764,202403,892575.11
arbsbre27713,202502,446748.16
avr30354,202408,228516.90
norh77433,202408,541519.76
avf75219,202409,641125.91
berpnabre243054,202401,306889.78
arlingapt22209,202412,413811.72
purcoc78748,202404,416265.39
corsm85283,202401,694467.46
corpc30342,202502,283905.77
corrn260654,202405,0.00
Lagpa33196,202401,819560.93
on80920,202402,275867.89
avpf30318,202409,165952.99
corml75204,202411,652122.36
corar85042,202402,324959.76
ridvoef76116,202501,351870.52
virbre30033,202502,723955.22
havr34747,202408,582957.97
