AssetCode,MonthID,ActualAmount,BudgetAmount
cortm83642,202406,575657.63,572275.61
coruptala32701,202502,570857.30,621344.62
attfm75201,202401,373069.83,398208.03
sunr43219,202401,271177.15,261445.64
parcbre285016,202502,264746.29,254924.10
huncoef28262,202405,389848.99,393044.28
corpn80917,202411,451111.62,481537.96
lakr43026,202406,185892.96,190054.67
lantcB75013,202405,465063.38,476805.46
maslcbre77407,202406,421877.47,431159.88
fosc76137,202410,591011.31,1209122.26
avf75219,202403,626967.91,661646.55
corp885345,202402,581943.59,598308.00
ech30030,202407,662653.92,710036.35
fosc76137,202404,593698.87,1205944.82
norh77433,202411,551145.74,578437.63
parwa78216,202409,540419.02,533688.38
becpbre75038,202408,633681.60,642390.63
sev30329,202408,561378.62,597304.26
corch75056,202408,495592.43,506586.47
corscottm85259,202503,300285.93,303608.25
echl30092,202501,493876.18,493876.18
corrockrim80919,202409,196977.30,217242.75
ech30030,202401,669948.91,682203.34
hil30342,202401,525943.99,0.00
corho33020,202411,773979.86,827505.91
cosa33782,202411,599708.45,636819.68
villp3oef30080,202405,706641.66,705410.38
sunr43219,202404,267921.72,265526.91
jefc43004,202403,328594.34,312876.74
corub30342,202406,298340.43,300138.33
corci34787,202501,624769.79,624769.79
oveda32118,202402,281938.73,279519.72
corrockrim80919,202406,194722.06,202591.95
cornd28210,202502,491741.48,466713.41
corch75056,202411,415143.52,518462.20
havr34747,202501,531752.48,531752.48
sev30329,202405,564237.85,595049.14
corpn280915,202402,120034.16,85772.00
corn37209,202410,642670.09,661253.81
corr78730,202503,694400.76,701276.94
corar78759,202410,530241.11,534539.07
attm30092,202410,411196.40,0.00
presahB75093,202402,582292.70,590152.04
avscr77584,202402,513276.30,503806.34
sunpo43074,202501,245519.66,245519.66
coraddass30350,202407,309977.34,326690.24
cortm83642,202403,582935.42,569042.44
cormc28262,202405,436746.84,534514.22
corwi30004,202411,502817.11,537150.01
lantcB75013,202408,470539.87,469377.56
balof80205,202411,596798.78,680273.48
corsm85283,202412,678140.88,687458.97
copscbre77041,202503,515207.74,529100.46
corbawarba33764,202502,887251.50,832227.91
