AssetCode,osl_UnitNumber,unit_group
gatpl33025,11-104,1x1
clifg30083,524-06,3x2
corcc75080,7304,1x1
presah75093,0416,2x2
lints76021,00211,3x2
Lagpa33196,0817,1x1
broadnbv33487,09-307,1x1
dung30360,T-02,3x2.5
corlo85704,11108,2x2
par285016,2040,1x1
villp2oef30080,2083L,1x1
inkwg77084,03-3103,1x1
harlh32707,09-206,2x2
So190M75080,3207,1x1
citfoef80021,2108,2x2
vir30033,M,0x1
corscottm85259,250,1x1
sev30329,2324,2x2
laur76137,621,2x2
villp4oef30080,2173I,1x1
casn28216,8044-301,2x2
par8y30076,3005,2x2
corr78730,0823,2x2
foun76039,2109,1x1
fosc76137,5101,1x1
shend30324,1309,2x2
lac30360,90K,3x2
sovb28262,1637,2x2
estspmbre278748,E-1828,2x2
dechighlands,1134,3x2
parbre2830076,5017,1x1
vishc75063,0507,2x2
harlhy32707,01-303,2x2
verp76177,1211,1x1
attp76133,1219,2x2
barml32703,100,0x1
greenwh30080,08D,2x2
coror27612,4100-307,2x2
corpn80917,14-306,1x1
arbsbre27713,1522,1x1
galcbre33615,475443,2x2
Lagpa33196,1309,2x2
eccoo32806,359,3x3
estspm78748,0232,2x2
villp430080,2185N,1x1
vizcbre77084,I22,2x2
stovrc32218,1018,1x1
estta80234,14-210,1x1
corro77019,7101,2x1
casn28216,8301-404,2x2
cors75035,1C - 247,1x1
corprovitp76015,1227,1x1
kinco33186,14-14111,1x1
chel830096,3209,2x2
hampl33196,04-210,1x1
visll134711,5308,1x1
parbre2830076,2203,1x1
corlc85718,2-048,1x1
ansl28210,2816,1x1
isl33615,185777,2x2
sovb28262,4013,1x1
coruptala32701,526,1x1
spc30092,106E,2x2
corsm83642,F107,2x2
dechighlands,1532,3x2
sovc77494,3213,1x1
fosc76137,10106,1x1
madl43110,6112,1x1
vensp77388,4214,1x1
tradw77064,3-338,2x2
remsbre243081,5571TB,2x2.5
covbbbre33716,7312,2x1
presfbre278240,3103,1x1
HighlM30033,701,1x1
sorpp27560,1202,2x2
corch80203,322,1x1
indp70810,6209,1x1
purcoc78748,1015,1x1
rems43081,5635TSW,2x2.5
corub33428,92-105,2x2
parbre2830076,4101,1x1
delc28212,6010-E,1x1
corhc33025,6-107,2x2.5
rial75010,6302,2x2
purvt78261,0554,1x1
purcoc78748,539,1x1
corn37209,122,1x1
dismvbre285209,2102,1x1
dismvbre285209,3020,2x2
merbre43212,1718,1x1
sormp28117,1102,2x2
hofbb76126,4255,2x2
corhcoef34741,D-402,1x1
attc89121,302,2x1
corsk233177,22-201,1x1
gal33615,415516,2x2
cormc28262,1412,3x2
cormc28262,0816,2x2
eccoo32806,517,2x2
corpb30305,1318,1x1
vir30033,M,2x2
corhi27519,2100-2123,1x1
allll32714,102,2x2
corprovitp76015,1921,1x1
corwvill175204,307,1x1
wat78748,02-0227,3x2
norh77433,7106,3x2
parcbre285016,4026,1x1
bowbnbre233616,3035,2x2
av27604,02-2622,2x2
adwr75078,10106,3x2
casli85704,07101,1x1
corco34747,D1211,1x1
teno30046,719,2x2
courv85008,2133,2x2
allllbre32714,203,1x1
cortlm32746,12-102,2x2
puret78261,3504,1x1
stratpcr75034,3313,2x2
cortm83642,W205,3x2
spring30021,3813D,1x1
emepa43081,5706KIP,1x1
luxscr77584,06106,3x2
par285016,4008,2x2
parbre2830076,5120,2x2
vk77094,1214,1x1
chel8oef30096,2341,2x2
bowbn33616,4051,1x1
bowb33616,1514,2x2
watecy30062,877,3x2
towcbre77339,2610,3x2
1250w30064,209,1x1
casnriet28216,9305-307,3x2
corp885345,3092,2x2
hofbb76126,4121,2x1
founHMC76039,0206,1x1
praircv75080,4423,1x1
arlingapt22209,103,1x1
arbs27713,332,1x1
cormc28262,1624,2x1
ech30030,205,1x1
presf78240,3301,2x2
villp330080,2109E,1x1
sixty76116,427,2x2
lakr43026,6140,2x1
vilc77054,924,2x2
corpp85306,2111,1x1
Lagpa33196,1515,1x1
corpn280915,5850-421,2x2
becpbre75038,1095,1x1
av27604,02-2513,1x1
becp75038,1084,2x2
rialbre75010,8204,2x2
presfbre278240,3406,2x2
avpf30318,637,1x1
dung30360,507,2x1.5
exchnhyld30341,12303,1x1
madlbre43110,6236,2x2
av27604,02-2213,1x1
poin28217,0527,2x2
corci34787,11316,2x2
spc30092,061B,2x2
spc30092,104A,2x1
alng75063,721053,2x2
presah75093,0934,2x2
fosc76137,9202,2x2
hampl33196,06-021,1x1
wesls80124,134,1x1
sovb28262,6022,2x2
avf75219,5034,1x1
CorcM27519,1420,2x2
saxw75070,2122,2x2
bowb33616,0505,1x1
por30096,1312,2x2
poinlp30319,7204,2x2
balof80205,1314,1x1
lints76021,06313,2x2
asp78741,1126,2x2
ansltc30809,904,2x2
isl33615,125726,2x2
galcbre33615,565262,2x2
parwa78216,06101,2x2.5
sovpr75035,10103,2x2
sorpp27560,2217,1x1
fairfc76137,922,2x2
hunc28262,135G,2x2
cords33444,B7-312,2x2
vishccbre75063,2408,2x2
shend30324,4404,2x2
attp76133,1306,1x1
astp30096,0409,1x1
coras75002,01 - 2128,2x2
harv77345,222,1x1
por30096,125,2x2
stratpcr75034,2201,3x2
pinuh85050,3037,2x2
can30093,P0317,1x1
corhiTL27519,0800-814,2x2
avps30318,319,1x1
picf30809,1185,2x2.5
avf75219,5089,2x2
corwi30004,04006,2x2
arcp76177,03-3316,2x2
corsv75035,2D - 350,1x1
att30022,937,1x1
broadwcHL77573,11103,1x1
becp75038,3030,1x1
1250w30064,1708,1x1
cormc28262,1204,2x2
liv33559,2408,2x2
3131oef30033,3203,1x1
corgs27603,1131,1x1.5
sprinv30032,281532,1x1
estspmbre278748,E-1134,2x2
norsu43074,P7358,2x2
presro78728,12-1215,3x2
hal77096,P240,1x1
corch75056,2065,1x1
stonvr75063,3004,1x1
vizcbre77084,N13,1x1
corga33782,1-444,2x2
covbb33716,8305,1x1
stonvrcbre75063,1038,2x2
casnriet28216,8819-106,1x1
cosa233782,6417,1x1
sarpmoef28105,538-11,1x1
verp76177,4308,2x2
15777qoef75001,3110,1x1
corgv80249,11-210,2x2
sin30093,1004,2x2
corbawarba33764,4-212,1x1
avpfccbre76137,638,1x1
saxw75070,1434,1x1
herss30310,4127,1x1
corco34747,B1301,3x3
parwa78216,18105,1x1
estspmbre278748,E-0633,1x1
adwg32821,5305,2x2
visll234711,20205,1x1
corb280226,C-245,1x1
sovb28262,7105,2x2
retsr75071,1822,1x1
parbre2830076,4301,3x2
souto27560,2315,2x2
towc77339,601,2x2
mirrc32218,01012,2x2
corb37209,813,2x2
bat2b30339,527,1x1
corro77019,4308,1x1
corjc30005,2123,1x1
garvbre75287,24215,1x1
resal43110,3615,2x1.5
vk77094,4109,2x2
adwg32821,1413,2x2
avscr77584,2108,1x1
can30093,H0402,1x1
presf78240,402,2x2
parwa78216,12305,1x1
sovb28262,1415,1x1
HighlM30033,1201,2x2
villp4oef30080,2199H,1x1
fairfc76137,414,1x1
can30093,P1502,2x2
madlbre43110,6240,1x1
covri80233,E107,2x2
ansl28210,721,2x2
covbbbre33716,2211,1x1
hamrbre27713,S216,1x1
kinco33186,12-01231,1x1
CorcM27519,1310,2x2
purcoc78748,1032,1x1
liv33559,3302,2x2
parlcbre33615,5-534,2x2
corlc85718,4-023,2x2
camhg28215,5508P,1x1
lakgp80239,538,2x2
corpc22202,02-0614,2x2
visll134711,8108,1x1
harlhy32707,09-212,2x2
corhiTL27519,2000-2023,1x1
corba33764,1-104,2x2
poroef30096,708,1x1
villp330080,2123B,2x1
bouldp77536,712,1x1
corp30342,407,1x1
towcbre77339,929,1x1
presro78728,24-2431,1x1
can30341,3217N,1x1
corse28203,244,1x1
unc28262,123,2x2
910ts75204,1223,2x2
wat76244,9110,1x1
covcv76132,1115,3x2
corsm83642,G107,0x1
astpoef30096,0611,1x1
wesm270605,5210,3x2
5thous75244,2315,1x1
sev30329,3313,1x1
corse28203,343,1x1
rialbre75010,7102,1x1
cors30350,5023,1x1
arbsbre27713,1112,2x2
casn28216,8819-304,1x1
corhp85233,1049,2x2
jefl30062,8205,1x1
coruptala32701,322,1x1
cororoy75063,1097,2x2
wat76244,10102,2x1
avf75219,2039,1x1
corprovitp76015,1733,2x1
harlhbre232707,12-109,3x2
lac30360,96H,2x2
villp430080,2215D,2x2
stovrc32218,1031,1x1
bat3b30339,407,2x2
purf85003,475,2x2
So190M75080,1109,2x2
corpp85306,1126,2x2
vensp77388,1415,1x1
corasRH75002,01 - 4062,1x1
corwn37209,348,0x1
mon78249,223,1x1
jamsbre30043,2301,1x1
harlhy32707,15-115,1x1
flatwhbre78245,3103,1x1
arccr75070,3-3209,2x2
lakgpbre280239,2222,1x1
wrenn28216,3104,2x2.5
ridvoef76116,1-121,1x1
stonvrcbre75063,2083,2x2
coror27612,4109-306,2x2
adwg32821,5407,2x2
corscottm85259,102,1x1
bowbn33616,1079,2x2
cornl22202,0413,1x1
dechighlands,1320,1x1
inkwg77084,02-2112,2x2
ams75034,2139,2x2
corjc30005,2435,2x2
benb43004,214,1x1
exchnh30341,6304,1x1
puret78261,0301,2x2
villp4oef30080,2211E,1x1
910ts75204,322,1x1
flatwhbre78245,2203,1x1
bat2b30339,510,1x1
sprinv30032,281535,1x1
wrenn28216,9205,1x1
estspmbre278748,E-0932,1x1
estta80234,03-201,1x1
clifg30083,540-18,2x2
sunr43219,3138,1x1
jeflbre230062,2024,2x2
broadwcHL77573,03103,1x1
broadwcHL77573,01108,2x2
clifg30083,760-17,2x2
teno30046,809,1x1
norh77433,22104,1x1
becp75038,2098,2x2
lints76021,09213,1x1
coronponce30030,512,2x2
broadwc77573,01302,2x2
par8y30076,4308,2x2
tus30093,686512,2x2
villp4oef30080,2157Q,2x2
ves35205,H516,1x1
ambm30096,2158,1x1
corasRH75002,01 - 3078,1x1
corf80020,1307,2x2
cornd28210,374,1x1
watecbre230062,823,2x2
corsm85283,1045,2x2
jams30043,6308,1x1
ac20147,MS820201,1x1
dismvbre285209,2127,2x1
stonbcHL76039,1516,1x1
purf85003,456,2x2
artp75034,12211,3x2
chel830096,3112,2x2
corr78730,0811,1x1
merbre43212,2704,1x1
stonbcHL76039,0116,1x1
delc28212,6020-A,1x1
poin28217,1737,2x2
tradw77064,2-237,1x1
praircv75080,0614,1x1
aurfrbre227614,5-304,1x1
corpc22202,01-1316,1x1
towc77339,714,1x1
ves35205,H1716,1x1
twap31322,12110,1x1
cops77041,923,1x1
havr34747,13B-101,2x2
bouldp77536,505,2x1
corwbbre233437,4203,1x1
harlh32707,15-209,1x1
lints76021,04204,1x1
praircv75080,3225,1x1
artp75034,13211,1x1
arcls80124,4355,2x2
gatplhmc33025,03-309,1x1
havr34747,10A-202,1x1
unc28262,1739,1x1
astpoef30096,1108,1x1
lakgpbre280239,1339,1x1
verp76177,1306,2x2
lakgp80239,721,3x2
1201p75074,1028,2x1
astpoef30096,0107,2x2
corri33578,5467-302,3x2
corwpwarba33401,11-306,1x1
esttaara80234,21-103,2x1
towcbre77339,510,1x1
watec30062,548,1x1
corlc85718,6-09204,2x2
cororoy75063,1073,1x1
sovc77494,5109,2x2
313130033,9003,1x1
corr78730,1522,2x2
910ts75204,1017,1x1
vilc77054,514,3x2
isl33615,195319,2x2
garvbre75287,17203,1x1
parlcbre33615,3-216,2x2
brisoef75056,1111,2x2
towc77339,2708,1x1
legfc32606,10-105,1x1
stonvrcbre75063,2052,1x1
olean30329,549,2x2
harlhbre232707,14-303,1x1
ridv76116,1120,1x1
covbb33716,1207,1x1
steepn28212,715,1x1
capcwbre228273,3206,1x1
corho33020,14206,1x1
sixty76116,1117,2x2
briar75007,2002,2x1
arbs27713,1335,2x2
corsb75035,403,2x2
inkwg77084,01-1405,2x2
vers32771,03-100,3x2
uncbre228262,725,2x2
copscbre77041,1035,1x1
allll32714,101,2x1
sanbcbre85226,1057,2x2
sanb85226,2002,1x1
pinuhHL85050,2115,2x2
stonb77521,2607,2x1
lints76021,00811,2x2
attdLSC76208,20101,1x1
bowbn33616,2102,2x2
corjc30005,1711,3x2.5
corba33764,1-103,2x2
gal33615,475463,2x2
parl33615,107,3x2
jefl30062,1422,2x2
stonbcHL76039,1227,1x1
poin28217,0634,1x1
artp75034,18109,2x2
stovrc32218,218,2x2
corwpwarba33401,3-305,2x2
corr22209,1503,1x1
eccoo32806,521,1x1
villp330080,2143F,1x1
stonbc76039,0517,2x2
stonb77521,1811,2x2
corwpwarba33401,4-108,2x2
sunri85704,102,2x2
cormckinney75201,1211,2x2
fosc76137,6201,3x2
cosaoef233782,7410,1x1
presro78728,24-2412,1x1
villp430080,2215K,2x2
corci34787,05201,3x2
attdLSC76208,12106,2x2
3131oef30033,8104,1x1
cormd77004,1305,2x2.5
teno30046,1107,2x2.5
avr30354,1109,2x2
artp75034,15212,1x1
briar75007,0107,2x2
corba33764,4-317,2x2
dompp30326,1452,2x2
villp330080,2131C,2x2
villp3oef30080,2095K,1x1
presfbre278240,404,1x1
cosa233782,7321,3x2
stonvr75063,3045,1x1
retsr75071,222,1x1
estspm78748,1431,2x1
audv33615,919,1x1
corcg33896,2-119,2x2
sovb28262,1632,2x2
inkwg77084,03-3132,1x1
poinoef28217,0738,2x2
watecy30062,529,3x2
jeflbre230062,1842,2x2
suit276039,4105,1x1
liv33559,2813,1x1
casn28216,9320-307,2x2
newl77084,10-101,2x2
corsc85750,1105,2x2
villp3oef30080,2143Q,1x1
covri80233,C103,1x1
ansl28210,1137,1x1
tosvr75077,2301,1x1
corasRH75002,01 - 1110,2x2
corwpwarba33401,9-205,1x1
mon78249,817,2x2
corsk33177,04-204,1x1
hal77096,P416,2x2
corsk33177,15-305,1x1
wesls80124,207,2x2
lac30360,72E,1x1
powgr43065,35310,1x1
villp4oef30080,2219J,0x1
vk77094,8212,2x2
purvt78261,1328,2x2
corwn37209,421,2x2
norsu43074,B284,1x1
wat78748,04-0432,1x1
vir30033,L,2x1
madl43110,6101,2x2.5
por30096,827,2x2
lac30360,54C,1x1
corn37209,360,1x1
vers32771,11-202,2x2
purvt78261,1246,1x1
corho33020,02204,2x2
casn28216,8317-201,2x2
presah75093,1335,1x1
sev30329,2207,2x2
rialbre75010,1304,1x1
lints76021,00428,2x2
corpp85306,1140,2x2
jams30043,9107,2x1
attcp75052,1338,1x1
vizcbre77084,N28,2x2
garv75287,20306,1x1
avf75219,1018,1x1
dismv85209,3044,2x2
corhc34741,F-1306,1x1
corf80020,1225,1x1
15777qoef75001,2111,1x1
corna43054,7258T,1x1
capcw28273,6103,1x1
covbbbre33716,2103,2x2
corsb75035,468,1x1
puret78261,3604,1x1
rial75010,2304,2x1
corn37209,335,0x1
teno30046,617,1x1
corld75056,4305,1x1
hamrbre27713,A821,2x2
watecy30062,814,2x2.5
garv75287,30208,1x1
1250w30064,710,2x2
exchnh30341,10308,2x2
tersm78748,0827,1x1
exchnhyld30341,1101,1x1
cororoy75063,3126,2x2
coralamst180223,S509,0x1
1201p75074,0828,2x2
15777qoef75001,3326,1x1
attp76133,604,2x2
presah75093,1016,1x1
legfc32606,17-303,3x2
pasbc78738,P2113,1x1
estspmbre278748,E-0736,1x1
ansl28210,1021,2x2
cormilld155415,906,0x1
ligw77064,738,2x2
stonbcHL76039,0316,1x1
corch80203,230,1x1
coras75002,01 - 1149,1x1
corcc75080,6310,1x1
steep30093,5959E,1x1
attfm75201,436,1x1
harlhbre232707,05-108,3x2
sanb85226,1034,2x2
audv33615,C13,1x1
corasRH75002,01 - 4155,1x1
Corb85016,222,1x1
corwe75229,8310,1x1
corsv75035,2C - 225,1x1
wat76244,9208,1x1
corwn37209,254,0x1
lexbre30004,7202,2x2
lexbre30004,24202,1x1
foun76039,1821,1x1
presro78728,26-2627,2x2
broadwcHL77573,03202,1x1
towc77339,1104,1x1
brisoef75056,0361,1x1
corsm83642,C102,3x2
bris75056,0333,1x1
gal33615,555341,1x1
merbre43212,1588,2x2
exchnhyld30341,5401,1x1
exchnhyld30341,14107,2x1
corasRH75002,01 - 1057,1x1
vers32771,02-258,3x2
granr80920,1811,2x2
tersm78748,0535,1x1
watecy30062,838,2x2
par8y30076,2418,2x2
harlhy32707,07-312,2x2
av27604,02-2631,2x2
galcbre33615,585313,2x2
watbre278748,12-1221,3x2
towc77339,2907,2x2
audv33615,801,1x1
corw30067,05F,2x2
corhiTL27519,2000-2028,1x1
corbc27617,1828,2x2
belv75025,2621,3x2
corga33782,2-222,2x2
corgv80249,14-101,2x2
broadwcHL77573,11104,1x1
porpgs233409,102,3x2
lakgp80239,2310,2x2
cormc28262,0423,1x1
harlhbre232707,02-109,1x1
poin28217,1017,2x2
stonb77521,808,3x2
aurfrbre227614,5-203,1x1
aurfr27614,3-302,2x2
legfc32606,09-302,2x1
uncbre228262,121,2x2
provn30328,5H,2x1.5
jamsbre30043,6303,1x1
garv75287,7101,0x1
hampl33196,04-112,1x1
puret78261,4606,3x2
mintui180246,10-409,1x1
lakgp80239,1433,2x2
bris75056,1122,1x1
provn30328,13G,1x1
corsv75035,2C - 442,1x1
courv85008,1041,2x2
corci34787,06207,2x2
arcp76177,02-2322,1x1
cortm83642,D202,2x2
puret78261,3808,1x1
teno30046,315,2x2
purvt78261,0924,1x1
sin30093,1609,1x1
presfbre278240,712,1x1
sarpm28105,406-24,1x1
corhc33025,3-206,3x2
vtr33414,107,2x2
adlb28078,5311,3x2
corf80020,2205,1x1
cortv30106,212,1x1
exchnh30341,2404,1x1
capcwbre228273,6213,1x1
flatwhbre78245,7301,1x1
av27604,01-1203,2x2
15777q75001,3302,1x2
corga33782,1-445,2x2
masl77407,221,3x2
cororoy75063,2004,1x1
berpna43054,5305S,2x2.5
bowb33616,1301,0x1
wyndsorc75002,1109,2x2
ac20147,MS831212,2x2
sienh30093,87,2x1
5thous75244,1422,1x1
ligw77064,931,2x2
broadwcHL77573,11312,2x1
bowbbre233616,0314,1x1
cans30253,1123,2x2
dismvbre285209,3011,1x1
remsbre243081,5573TB,2x2.5
steep30093,5994D,2x2
sunri85704,206,2x2
vishc75063,2305,2x2
purfm75226,2268,1x1
bowb33616,1108,1x1
avf75219,1091,1x1
poinoef28217,0537,2x2
purvt78261,1241,1x1
saxw75070,126,3x2
coronponce30030,524,1x1
cosaoef233782,7319,1x1
towc77339,2022,2x1
legfc32606,02-202,1x1
purvt78261,0937,2x2
camhg28215,5516F,2x2
camhg28215,5619O,1x1
briar75007,2007,2x2
chel830096,2618,3x2
attc89121,347,1x1
corgv80249,12-204,1x1
corct76123,10210,2x2
corbc27701,529,0x1
HighlM30033,831,2x2
copscbre77041,1411,3x2
vk77094,2206,1x1
citfoef80021,1115,1x1
corub30342,6206,1x1
wesm70605,7116,3x2
lakgp80239,1634,1x1
ams75034,2404,1x1
gal33615,545274,2x2
harlhbre232707,13-219,1x1
estspm78748,1918,2x2
stratpcr75034,3320,2x2
corhc33025,6-306,3x2
alngbre75063,781109,2x2
avpf30318,136,3x2
liv33559,110,1x1
v627604,1420,2x2
hal77096,P201,1x1
villp4oef30080,2175R,1x1
alng75063,452018,1x1
arlingapt22209,210,1x1
corp885345,1137,2x2
viz77084,M36,1x1
jamsbre30043,13103,2x2
wat78748,09-0920,1x1
attbre30022,813,2x2
covcv76132,1202,2x1
corsm83642,B108,3x2
av27604,02-2305,1x1
asp78741,627,2x2
sarpmoef28105,500-31,2x1
presro78728,24-2438,1x1
avf75219,4081,0x1
corhcoef34741,F-1306,1x1
casn28216,8038-308,2x2
villp330080,2123A,2x1
spc30092,051F,2x1
ansltc30809,1119,1x1
casn28216,9320-207,2x2
olean30329,404,1x1
av27604,01-1101,2x2
corn37209,211,0x1
kinco33186,05-05210,1x1
corb37209,1127,1x1
So190M75080,1230,1x1
watecbre230062,565,1x1
stonbc76039,0734,1x1
sovb28262,1438,2x2
powgr43065,R3349,3x3
attm30092,516,1x1
garvbre75287,10117,1x1
towcbre77339,2102,1x1
1500o30021,1608J,2x1
ech30030,426,1x1
ech30030,682,2x1
villp330080,2139P,1x1
attbre30022,1526,2x2
newl77084,05-101,2x2
saxw75070,2526,1x1
corwn37209,626,0x1
corwp33401,13-216,1x1
stonbc76039,0914,1x1
sarpm28105,500-33,1x1
corhcoef34741,D-210,1x1
corld75056,4112,1x1
presro78728,15-1528,2x2
313130033,7308,1x1
arrsbre285308,3086,2x2
par285016,1016,1x1
presro78728,14-1437,1x1
corr78730,2137,1x1
purfm75226,2313,1x1
ansltc30809,903,2x2
corsf33619,1-426,2x2
corwn37209,119,1x1
corld75056,5204,2x2
estspmbre278748,E-0131,1x1
corsk33177,17-203,2x2
Lagpa33196,0416,1x1
1250w30064,909,1x1
chel8oef30096,2326,1x1
corhc34741,E-102,2x2
laurbre76137,435,1x1
echl30092,3303,1x1
purvt78261,0747,2x2
lakgp80239,2011,3x2
brisoef75056,1152,2x1
15777qoef75001,2303,1x1
poroef30096,409,3x2
flatwhbre78245,3208,1x1
parl33615,102,2x2
poinoef28217,0224,1x1
watecy30062,887,1x1
stonb77521,707,2x1
corct76123,04207,1x1
viz77084,D22,2x2
hamr27713,A1032,2x2
steep30093,5850B,2x2
presahB75093,0834,2x1
balof80205,1433,1x1
corhi27519,0400-425,3x2
attvv89102,1119,1x1
cosa233782,6320,3x2
wesm270605,10301,2x2
som30084,1205,1x1
par830076,2514,1x1
av27604,01-1437,3x2
resal43110,7385,2x1
pasbc78738,P3301,2x2
spc30092,104H,2x1
corb37209,513,2x2
chel830096,1921,2x1
luxscr77584,02309,1x1
mer43212,1554,1x1
corp30342,126,1x1
copscbre77041,222,2x2
avpfc76137,214,1x1
corb37209,227,1x1
3131oef30033,10107,1x1
ridv76116,323,2x2
copscbre77041,814,2x2
norh77433,1105,3x2
par830076,4416,1x1
corb37209,611,2x2
remsbre243081,5495CR,2x2.5
corhc33025,4-110,3x2
can30093,H0122,2x2
CorcM27519,3411,1x1
corrosscp22209,1-1305,1x1
corsb75035,467,1x1
flatwhbre78245,6203,3x2
belv75025,3123,2x2
lex30004,4206,1x1
watecbre230062,375,1x1
ligw77064,838,2x2
15777qoef75001,3127,1x1
attvv89102,2099,1x1
belv75025,1338,1x1
cororTL27612,4016-304,2x2
poin28217,1524,1x1
corpn80917,12-208,2x2
isl33615,065572,1x1
attbre30022,131,2x2
sola27519,1-117,1x1
corsf33619,2-230,2x2
ivyp30317,1203,2x1
villp3oef30080,2135K,1x1
presfbre278240,210,1x1
tus30093,184522,1x1
corsm83642,H104,1x1
adlb28078,6116,2x2
watbre278748,06-0612,1x1
910ts75204,2412,1x1
artp75034,15122,2x2
clifg30083,740-11,2x2
corpn280915,5725-212,1x1
hunr30092,1302,3x2
cororTL27612,4100-201,2x2
corga33782,1-407,1x1
powgr43065,P3392,2x2.5
corb37209,212,1x1
asp78741,823,2x2
corri33578,5433-238,2x2
att30022,332,2x2
capcw28273,5311,1x1
corar78759,171,1x1
eccoo32806,244,2x2
jefl30062,1524,2x1
gatpl33025,02-102,3x2
inkwg77084,03-3315,1x1
15777qoef75001,1439,1x1
porp233409,203,1x1
sola27519,2-436,1x1
corjc30005,2232,2x2
corbc27701,668,1x1
corgs27603,1109,2x2
corf80020,4309,1x1
villp330080,2097N,1x1
corub33428,76-402,3x2
sunri85704,115,1x1
lakgpbre280239,1113,3x2
estspmbre278748,E-1521,1x1
hal77096,T075,2x2
cornona32832,2116,1x1
dismv85209,3096,2x2
arcls80124,3229,2x2
corct76123,10304,2x2
eccoo32806,352,2x2
corho33020,01106,1x1
ansltc30809,217,2x2
villp3oef30080,2095B,1x1
artp75034,12303,2x2
1500o30021,1603G,2x2
par285016,4043,0x1
vtr33414,308,2x2
mintui280246,03-412,2x1.5
arcp76177,02-2224,2x2
cormc28262,0507,2x2
delc28212,6030-F,1x1
cormidmia33137,1511,1x1
clifg30083,721-08,3x2
dompp30326,1317,1x1
presf78240,2708,2x2
estta80234,03-104,1x1
corct76123,03207,1x1
fosc76137,15309,1x1
echl30092,4212,1x1
ambm30096,3912,2x2.5
Corb85016,138,1x1
maslcbre77407,416,1x1
lints76021,02335,2x2
barml32703,308,2x1
coraddass30350,1905,2x2
corhc34741,B-311,2x2
luxscr77584,02209,1x1
watecbre230062,809,2x2.5
corhiTL27519,0500-532,1x1
avr30354,4223,4x2
1250w30064,924,3x2
hunr30092,5702,2x2
corub33428,40-521,2x2
par8y30076,1101,1x1
pasbc78738,P1201,2x2
courv85008,2014,2x2
bowb33616,0921,2x2
presf78240,2310,1x1
presahB75093,1438,2x2
emepa43081,5932KIP,2x1
15777qoef75001,1316,1x1
mer43212,2204,2x2
towcbre77339,1520,2x1
remsbre243081,5523CR,2x2.5
ech30030,683,2x2
presf78240,1111,1x1
charlc70605,416,1x1
fairfccbre76137,633,2x2
corsm83642,J101,2x2
legpt77084,0315,2x2
ansl28210,2424,1x1
avf75219,5080,2x2
chh37013,1806,1x1
lakgpbre280239,2235,1x1
newl77084,07-104,1x1
flatwhbre78245,3201,1x1
attd76208,19106,2x1
av27604,02-2232,1x1
adwr75078,4110,1x1
aurs28210,E104,2x2
foun76039,1607,2x1
sormp28117,2101,2x2
coralamst180223,S415,1x1
lakgp80239,1332,1x1
attp76133,2310,1x1
corprovitp76015,1324,2x2
presf78240,908,2x2
can30341,3271Y,1x1
ac20147,CS800208,1x1
jefc43004,1084J,3x2
remsbre243081,5431CR,2x2.5
corsb75035,160,2x2
flatwh78245,16204,2x2
poin28217,0822,2x2
chel830096,1722,3x2
corba33764,3-209,2x2
cormilld155415,1027,2x2
HighlM30033,1323,1x1
corlc75039,3024,2x2
legfc32606,17-108,3x2
313130033,10301,2x2
corcc75080,2320,1x1
corpn280915,5850-106,2x2
par8y30076,3608,2x2
corp30342,125,1x1
atra80021,2202,2x2
tersmbre278748,T-0535,1x1
dung30360,Y-03,2x1.5
peypa43026,101-4797,2x2
dismvbre285209,2092,2x2
clubc77095,7211,1x1
spc30092,077A,3x2
corpp85306,2087,1x1
parwa78216,13101,1x1
oaks28269,1621,2x2
15777qoef75001,3325,1x1
cortv30106,923,1x1
watec30062,202,2x2.5
tus30093,186522,1x1
jefc43004,8002E,3x2
estta80234,13-201,2x2
spc30092,088F,1x1
adwg32821,4218,3x2
avscr77584,18109,1x1
attc89121,340,1x1
garvbre75287,2302,1x1
courv85008,1013,2x2
1201p75074,0821,2x2
cormilld155415,404,0x1
exchnh30341,3207,1x1
jefl30062,0516,2x2
pinuhHL85050,1092,2x2
tus30093,184527,1x1
norh77433,20107,2x2
steep30093,5959J,1x1
cords33442,4108,1x1
towcbre77339,607,2x2
bowb33616,1105,1x1
ac20147,AT792101,2x2
masl77407,1221,2x2
attbre30022,1126,1x1
lints76021,04303,1x1
can30341,3169E,1x1
merbre43212,2546,2x2
purlv75039,1027,1x1
sovsc77388,6213,2x2
briar75007,0304,2x2
clifg30083,740-18,2x2
corar78759,479,1x1
ech30030,749,1x1
pasbc78738,P2114,1x1
adlb28078,1110,2x2
corga33782,1-248,1x1
islcbre33615,115670,1x1
norsu43074,M186,2x2.5
watbre278748,06-0619,1x1
parcbre285016,4028,1x1
coras75002,01 - 4136,2x2
corrosscp22209,1-1515,2x2
corwn37209,216,0x1
corpb30305,1219,1x1
cornona32832,3410,1x1
corwi30004,09008,2x2
can30341,3217U,1x1
casnriet28216,9325-406,1x1
watecbre230062,114,1x1
vk77094,9106,1x1
covri80233,B108,3x2
avps30318,314,1x1
corho33020,07304,2x2
cornl22202,1308,1x1
deerv34471,1001,2x2
corn37209,564,1x1
corwbbre233437,9104,1x1
cortlm32746,04-112,3x2
lac30360,50E,2x2
norsu43074,A269,2x2
copscbre77041,1424,3x2
v627604,1102,1x1
audv33615,808,1x1
som30084,2810,2x2
corhp85233,2009,2x1
sienh30093,141,2x1
masl77407,2224,1x1
charlc70605,1311,2x1
