AssetCode,osl_UnitNumber,unit_group
mon78249,1116,1x1
sixty76116,413,1x1
15777q75001,4212,1x1
cortv30106,317,1x1
madlbre43110,6251,2x2
chel8oef30096,2912,2x1
cor2580534,G-305,1x1
corhp85233,1018,2x2
corch75056,4047,1x1
corlc75039,1017,1x1
corb280226,C-439,2x2
corwvill175204,624,1x1
flatwh78245,11202,2x2
corsm85283,1017,2x2
sunr43219,1912,2x1
sunr43219,3087,2x1
towcbre77339,814,1x1
presfbre278240,1801,2x2
corsm83642,E201,2x2
corgs27603,908,1x1
sarpm28105,527-26,2x2
atra80021,4401,2x2
par830076,1008,2x2
corcc75080,3316,2x2
corpn280915,5850-328,1x1
parwa78216,15306,2x2
ligw77064,1223,1x1
corpc22202,02-0818,2x2
ech30030,321,1x1
presro78728,18-1828,1x1
brisoef75056,1312,2x1
aubg30312,669,2x2
spc30092,043E,1x1
bracm78209,9301,1x1
corba33764,3-202,2x2
mon78249,2115,1x1
cosa233782,6113,1x1
bat2b30339,519,1x1
corga33782,1-136,2x2
hampl33196,01-029,1x1
stonvr75063,2031,3x2
maslcbre77407,2623,1x1
lantcB75013,6103,2x2
courv85008,2095,2x2
av27604,01-1625,1x1
stonbc76039,1026,2x2
villp1oef30080,2027I,2x2
jeflbre230062,2011,2x2
can30341,3245V,2x2
corww33578,6213-205,3x2
purf85003,463,2x2
indp70810,8209,2x2
corch75056,3011,1x1
So190M75080,2211,1x1
corsm85283,1081,2x2
villp1oef30080,2039R,2x2
eccoo32806,435,1x1
hil30342,1511,0x1
isl33615,095589,2x2
lac30360,70D,1x1
pinuh85050,2082,3x2
sola27519,1-202,2x2
spc30092,091F,2x2
arcls80124,4335,2x2
coralamst180223,N320,1x1
1500o30021,1411B,2x1
broadnbv33487,04-101,2x2
cornl22202,0224,1x1
villp130080,2045D,2x1
stratcr77494,3214,2x2
stonvrcbre75063,1040,1x1
corscottm85259,282,1x1
jams30043,1003,2x2
villp430080,2215V,2x2
adwr75078,18110,1x1
corwn37209,238,0x1
cormilld155415,623,1x1
isl33615,115678,2x2
estta80234,06-204,2x2
wrennl28216,5-206,1x1
lexbre30004,5204,3x2
sovpr75035,2206,3x2
colpo80206,5210,2x2
ligw77064,423,1x1
corwbbre233437,7206,2x1
corrockrim80919,9-202,3x2
estspm78748,1611,1x1
villp2oef30080,2055L,2x1
can30093,H0407,2x2
visll234711,14208,2x2
bowbbre233616,1117,1x1
mer43212,1688,2x2
capcwbre228273,5212,2x2
tersmbre278748,T-0832,1x1
greenwh30080,22A,3x2
uncbre228262,615,2x2
rialbre75010,7204,1x1
rial75010,4309,2x2
cororoy75063,2107,2x2
cornona32832,501,2x2
carc33619,301,2x2
arrs85308,3126,1x1
ansltc30809,534,1x1
corbc27701,404,1x1
corp30342,402,2x2
3131oef30033,7208,1x1
3131oef30033,10210,2x2
attc89121,124,1x1
greho43016,105-5685,2x2
sienh30093,148,2x1
fairfccbre76137,814,2x1
cors30350,6039,1x1
fosc76137,8208,2x2
poroef30096,115,2x2
vensp77388,3313,2x2
watecy30062,504,2x2.5
becp75038,2019,3x2
chh37013,0213,1x1
gatplhmc33025,01-207,1x1
islcbre33615,105658,1x1
watbre278748,12-1225,2x2
sorpp27560,2319,1x1
stovrc32218,709,2x2
bowbbre233616,1611,1x1
asp78741,914,2x1
briar75007,1905,2x2
covbb33716,3214,2x2
wat76244,23201,3x2
covcv76132,2209,1x1
corjc30005,2614,2x2
cormilld155415,1012,1x1
cormilld155415,1303,1x1
jams30043,12102,2x2
vishccbre75063,2004,2x2
balof80205,1290,0x1
balof80205,0180,1x1
cors75035,1B - 433,2x2
purcoc78748,935,1x1
attbre30022,513,2x2
founHMC76039,1101,2x1
broadnbv33487,20-102,3x3.5
corba33764,1-115,3x2
lex30004,1102,1x1
fosc76137,14108,2x2
cormckinney75201,801,2x2
corlo85704,12202,2x2
hamr27713,K531,1x1
provn30328,9L,2x1
wyndsorc75002,1502,1x1
villp230080,2067R,1x1
Lagpa33196,2124,1x1
hamr27713,S327,1x1
sarpmoef28105,521-28,3x2
sunpo43074,3001,2x2
stratcr77494,2306,2x2
spc30092,101B,2x2
ansl28210,2414,1x1
eccoo32806,170,1x1
sovb28262,3038,2x2
steepn28212,823,1x1
presro78728,23-2322,1x1
vk77094,4211,2x2
corl33612,6206,1x1
flatwh78245,16103,2x2
madl43110,6365,2x2
watecy30062,549,1x1
par830076,3518,1x1
avm30021,1038-8,3x2
corgv80249,3-200,2x2
belv75025,0224,2x2
corr22209,905,2x2
dismvbre285209,3006,1x1
avpfc76137,334,2x1
founHMC76039,0407,2x1
islcbre33615,255248,2x2
lexbre30004,21003,2x2
mintui180246,10-111,2x2
corwbbre233437,8111,3x2
brook43068,2867KW,2x1.5
corwe75229,16304,1x1
towc77339,802,1x1
villp4oef30080,2207D,1x1
cornd28210,463,2x2
tradw77064,14-1434,1x1
corsc85750,13153,2x2
liv33559,1410,1x1
broadwcHL77573,03304,1x1
vizcbre77084,G26,1x1
fosc76137,10311,1x1
vensp77388,3302,1x1
attp77581,2901,2x2
mintui180246,09-305,1x1
aurfrbre227614,6-308,2x2
broadwc77573,01201,2x2
villp330080,2105I,0x1
watbre278748,07-0734,1x1
purlv75039,2071,1x1
capcwbre228273,4301,2x2
purvt78261,0146,1x1
sixty76116,1234,1x1
broadnbv33487,13-302,3x2
chh37013,1202,2x2
corp885345,2060,2x2
reg28211,7,2x2
corbs78744,4210,1x1
estta80234,13-101,2x2
corjp32822,8104,2x2
exchnh30341,2203,1x1
cornl22202,1501,2x2
poinoef28217,0634,1x1
cops77041,1536,1x1
hampl33196,05-035,2x2
balof80205,1580,1x1
saxw75070,2533,1x1
spring30021,3811F,3x2
unc28262,1822,2x2
par830076,1907,2x2
purfm75226,1310,1x1
15777qoef75001,3427,1x1
corsm85283,2078,1x1
lakgpbre280239,2228,2x2
brisoef75056,0313,2x2
corw30067,30C,1x1
bowbbre233616,1206,2x2
corbc27701,310,1x1
islcbre33615,205347,2x2
corwe75229,7205,1x1
galcbre33615,525308,1x1
stonbc76039,1928,2x2
alng75063,683029,2x2
ams75034,1433,1x1
stonbcHL76039,0322,1x1
legfc32606,02-308,1x1
som30084,2601,2x2
corch75056,3081,2x2
vilc77054,1716,1x1
harlhbre232707,04-200,1x1
