cred_loan_id,cred_prop_id,transaction_id,loan_id,property_id,occupancy,occupancy_date,size,size_units,statement_beginning_date,statement_ending_date,statement_type,data_type,category_code,occupied_units,using_full_occupancy,amount_per_occupied_unit
167357,30645,FREMF 2021-K134,30320374,10-1,0.92,2024-09-25,238.0,units,2024-01-01,2024-12-31,NOR,AN,330UTILITI,218,False,1064.97
148674,403579,CGCMT 2018-B2,30299262,5-A-3-34,0.92,2024-06-30,324,units,2023-07-01,2024-06-30,NOR,TR,400PROFESS,298,False,0.11
71465,233889,BXMT 2021-FL4,30319535,3-1,0.0,2023-12-31,205705.0,sf,2023-10-01,2024-09-30,NOR,TR,500TENANTI,205705.0,True,0.00
209967,177953,JPMBB 2015-C32,203281002,5-79,0.8501,2024-12-31,228,units,2024-01-01,2024-12-31,NOR,AN,340REPAIRS,193,False,256.94
69038,218692,RCMF 2021-FL7,10231292,3-2,0.9609,2024-12-31,128.0,units,2024-01-01,2024-12-31,NOR,AN,320PROPINS,122,False,1122.39
209967,149614,JPMBB 2015-C32,203281002,5-83,0.9795,2024-12-31,168,units,2024-01-01,2024-12-31,NOR,AN,320PROPINS,164,False,142.37
148674,424327,CGCMT 2018-B2,30299262,5-A-3-11,0.93,2024-06-30,740,units,2023-07-01,2024-06-30,NOR,TR,380PAYROLL,688,False,156.27
14715,361061,CGCMT 2019-C7,695101201,40-1,0.86,2024-12-31,646459.0,sf,2024-01-01,2024-12-31,NOR,AN,330UTILITI,555954,False,3.85
163683,335854,CGCMT 2018-C6,320930019,19-1,0.5557,2022-12-31,115,units,2022-01-01,2022-12-31,NOR,AN,290PHONE,63,False,667.86
8789,65987,CGCMT 2018-B2,30314128,1-A-1-22,0.96,2022-09-30,470,units,2021-10-01,2022-09-30,NOR,AN,330UTILITI,451,False,11.76
189384,363352,CGCMT 2019-GC43,322660009,9-22,1,2023-09-30,59719.0,sf,2024-01-01,2024-09-30,NOR,YTD,510CAPEX,59719,False,0.08
319959,550603,WFCMS 2023-K153,10243567,14-1,0.9432,2024-12-24,352.0,units,2024-01-01,2024-12-31,NOR,AN,320PROPINS,332,False,532.60
48120,277989,CGCMT 2016-C1,407000624,2-32,0.7842,2023-12-31,52611,sf,2023-01-01,2023-12-31,NOR,AN,030BASERNT,41257,False,5.17
109847,300279,MSBAM 2015-C21,10096318,8-7,0.8832,2024-09-30,410.0,units,2024-01-01,2024-09-30,NOR,YTD,340REPAIRS,362,False,37.35
8789,275285,CGCMT 2018-B2,30314128,1-A-1-13,0.94,2022-09-30,561.0,units,2021-10-01,2022-09-30,NOR,AN,400PROFESS,527,False,0.08
145275,34260,MSBAM 2016-C31,302691179,38-1,0.9768,2024-03-31,52189.0,sf,2024-01-01,2024-12-31,NOR,AN,330UTILITI,50978,False,1.69
414496,755535,FREMF 2023-K754,30322082,7-1,0.92,2024-09-30,290,units,2024-01-01,2024-12-31,NOR,AN,310RETAXES,266,False,1713.64
193453,349907,JPMCC 2015-JP1,305180002,2-1,0.7378,2024-12-31,17.0,units,2024-01-01,2024-12-31,NOR,AN,490LEASING,12,False,45411.42
53924,408197,BANK 2021-BNK31,310956258,22-1,0.7808,2024-12-31,603.0,units,2024-01-01,2024-12-31,NOR,AN,410GENERAL,470,False,47.27
318206,547063,ACREC 2023-FL2,330181260,13,0.92,2024-09-30,170,units,2024-01-01,2024-12-31,NOR,AN,310RETAXES,156,False,1306.22
318621,548335,CGCMT 2023-PRM3,11158352,A-1-41,0.9612,2024-09-30,488.0,units,2024-01-01,2024-09-30,NOR,YTD,390MARKETI,469,False,37.79
46528,198542,BX 2021-RISE,10231703,HRR-2,0.9518,2024-09-30,664.0,units,2023-10-01,2024-09-30,NOR,TR,310RETAXES,631,False,1952.68
213317,175484,FREMF 2022-KF142,326891103,2-1,0.8946,2024-12-31,408.0,units,2024-01-01,2024-12-31,NOR,AN,330UTILITI,364,False,1191.87
92291,219911,BMARK 2019-B9,321371003,3-1,0.9105,2024-12-31,605767.0,sf,2024-01-01,2024-12-31,NOR,AN,330UTILITI,551550,False,1.23
70551,190083,WFCM 2018-C45,310945061,2-1,0.7931,2024-12-31,595.0,units,2024-01-01,2024-12-31,NOR,AN,440OTHEREX,471,False,53.67
129625,108179,MSBAM 2015-C27,1544803,4-72,0.9149,2024-12-31,263,units,2024-01-01,2024-12-31,NOR,AN,510CAPEX,240,False,35.35
134105,307470,JPMBB 2016-C1,883100562,6-12,0.8803,2024-12-31,281,units,2024-01-01,2024-12-31,NOR,AN,510CAPEX,247,False,20.30
