cred_loan_id,cred_prop_id,transaction_id,loan_id,property_id,occupancy,occupancy_date,size,size_units,statement_beginning_date,statement_ending_date,statement_type,data_type,category_code,occupied_units,using_full_occupancy,amount_per_occupied_unit
139709,401670,BBCMS 2021-C10,10227233,27-1,0.9264,2023-09-30,51751.0,sf,2024-01-01,2024-12-31,NOR,AN,310RETAXES,47942,False,2.28
20832,384169,CGCMT 2019-C7,695101221,33-1,0.954,2024-06-30,32603.0,sf,2024-01-01,2024-12-31,NOR,AN,370MANAGEM,31103,False,0.64
189384,283085,CGCMT 2019-GC43,322660009,9-4,1,2023-09-30,134565,sf,2024-01-01,2024-09-30,NOR,YTD,370MANAGEM,134565,False,0.11
189384,313485,CGCMT 2019-GC43,322660009,9-6,1,2023-09-30,205912.0,sf,2024-01-01,2024-09-30,NOR,YTD,040EXPREMB,205912,False,0.11
318621,548328,CGCMT 2023-PRM3,11158352,A-1-35,0.9441,2024-09-30,320.0,units,2024-01-01,2024-09-30,NOR,YTD,340REPAIRS,302,False,45.25
63515,41190,MSC 2019-L3,695101199,8-1,0.86,2024-12-31,646459.0,sf,2024-01-01,2024-12-31,NOR,AN,500TENANTI,555954,False,0.61
26324,261801,CGCMT 2018-B2,30314131,2-2,0.56,2023-12-31,198361,sf,2023-01-01,2023-12-31,NOR,AN,040EXPREMB,111082,False,15.75
125238,106552,FRESB 2018-SB52,503993883,89-1,0.94,2024-12-31,48.0,units,2024-01-01,2024-12-31,NOR,AN,320PROPINS,45,False,457.26
129625,305585,MSBAM 2015-C27,1544803,4-16,0.9325,2024-12-31,515.0,units,2024-01-01,2024-12-31,NOR,AN,310RETAXES,480,False,134.87
422213,777197,ELMCL 2024-GTWY,30511162,1-D-1-3,,,306406,sf,2023-10-01,2024-09-30,NOR,TR,310RETAXES,306406,True,6.77
129625,222229,MSBAM 2015-C27,1544803,4-1,0.9393,2024-12-31,861.0,units,2024-01-01,2024-12-31,NOR,AN,410GENERAL,808,False,38.20
129625,389213,MSBAM 2015-C27,1544803,4-81,0.505,2024-12-31,142.0,units,2024-01-01,2024-12-31,NOR,AN,410GENERAL,71,False,27.10
122317,163522,CSAIL 2017-CX10,10183055,12-10,0.95,2024-09-30,60.0,units,2023-10-01,2024-09-30,NOR,TR,380PAYROLL,57,False,2382.46
107935,167051,FREMF 2015-K49,10102164,12-1,0.9786,2024-09-30,513.0,units,2024-01-01,2024-12-31,NOR,AN,370MANAGEM,502,False,908.51
13470,420423,BMARK 2019-B9,321371005,5-1,1,2022-09-30,1022145.0,sf,2022-01-01,2022-12-31,NOR,AN,510CAPEX,1022145,False,0.39
68913,275030,CGCMT 2018-B2,30314146,12-A-2-1,0.81,2023-12-31,315589.0,sf,2023-01-01,2023-12-31,NOR,AN,450GROUNDR,255627,False,0.00
318621,548303,CGCMT 2023-PRM3,11158352,A-1-12,0.9631,2024-09-30,125.0,units,2024-01-01,2024-09-30,NOR,YTD,410GENERAL,120,False,199.67
321945,554277,DC 2023-DC,30510037,1-A-3-1,0.94,2024-09-30,360000.0,sf,2024-01-01,2024-09-30,NOR,YTD,350JANITOR,338400,False,1.36
209967,66761,JPMBB 2015-C32,203281002,5-77,0.9239,2024-12-31,246,units,2024-01-01,2024-12-31,NOR,AN,390MARKETI,227,False,8.62
154284,400511,CGCMT 2016-C1,305990039,39-1,0.9125,2024-09-30,25143.0,sf,2024-01-01,2024-09-30,NOR,YTD,400PROFESS,22942,False,0.11
189384,283085,CGCMT 2019-GC43,322660009,9-4,1,2023-09-30,134565,sf,2023-01-01,2023-12-31,NOR,AN,500TENANTI,134565,False,0.23
413106,752917,ARCLO 2021-FL1,330182966,26,0.96,2024-12-31,350,units,2024-01-01,2024-12-31,NOR,AN,390MARKETI,336,False,480.37
386448,633889,FRETE 2023-ML17,503655570,12-1,0.946,2024-12-31,55.0,units,2024-01-01,2024-12-31,NOR,AN,380PAYROLL,52,False,4048.69
122317,357233,CSAIL 2017-CX10,10183055,12-4,0.9898,2024-09-30,98,units,2023-10-01,2024-09-30,NOR,TR,140LAUNDRY,97,False,12.99
65788,177626,BMARK 2019-B15,30504263,25-1,0.95,2024-06-30,64071.0,sf,2024-01-01,2024-12-31,NOR,AN,320PROPINS,60867,False,0.32
40989,134621,BDS 2022-FL11,302220317,21-1,0.8938,2024-12-31,160.0,units,2024-01-01,2024-12-31,NOR,AN,140LAUNDRY,143,False,39.59
133422,306436,BBCMS 2021-C12,10231414,23-1,1,2023-06-30,15120.0,sf,2024-01-01,2024-12-31,NOR,AN,410GENERAL,15120,False,1.93
